CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
MISCELLANEOUS TRAFFIC CRIME,01/09/2021 08:40:00 PM,21-001485,UNLICENSED DRIVER,26Y,73RD AV & INTERNATIONAL BLVD,Oakland,CA,
PETTY THEFT,02/06/2021 05:00:00 AM,21-901767,THEFT,77X,JEFFERSON ST,Oakland,CA,
FELONY ASSAULT,02/05/2021 10:03:00 PM,21-005802,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,30X,1400 80TH AV,Oakland,CA,
BURG - AUTO,01/27/2021 07:30:00 PM,21-901361,BURGLARY-AUTO,PDT2,1300 GRAND AV,Oakland,CA,
WEAPONS,01/02/2021 07:24:00 PM,21-000268,CARRY CONCEALED WEAPON IN VEHICLE,02Y,1100 WOOD ST,Oakland,CA,
ROBBERY,12/24/2020 02:18:00 PM,20-062838,ROBBERY-FIREARM,13Z,9200 SKYLINE BLVD,Oakland,CA,
BURG - AUTO,01/22/2021 12:00:00 PM,21-901129,BURGLARY-AUTO,77X,00,Oakland,CA,
THREATS,12/24/2020 03:00:00 AM,21-001892,THREAT CRIME:INT:TERRORIZE,11X,500 62ND ST,Oakland,CA,
FELONY ASSAULT,02/02/2021 06:59:00 PM,21-005255,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,9200 WALNUT ST,Oakland,CA,
WEAPONS,12/19/2020 12:51:00 PM,20-062066,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,27X,4500 FOOTHILL BLVD,Oakland,CA,
DOMESTIC VIOLENCE,12/11/2020 11:00:00 PM,20-060812,THREAT CRIME:INT:TERRORIZE,02Y,800 CAMPBELL VILLAGE CT,Oakland,CA,
GRAND THEFT,08/31/2019 07:25:00 PM,19-045235,GRAND THEFT,05Y,1500 PERALTA ST,Oakland,CA,
MISCELLANEOUS TRAFFIC CRIME,11/29/2020 08:55:00 PM,20-058595,DUI ALCOHOL/DRUGS,27Y,6200 INTERNATIONAL BLVD,Oakland,CA,
ROBBERY,01/22/2021 12:22:00 AM,21-003317,ATTEMPTED ROBBERY-FIREARM,19X,1200 9TH AV,Oakland,CA,
FELONY ASSAULT,12/31/2020 09:00:00 PM,20-063904,ASSAULT WITH FIREARM ON PERSON,77X,51ST &HIGHWAY 24,Oakland,CA,
OTHER,12/17/2020 04:01:00 AM,20-061618,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30X,8000 OLIVE ST,Oakland,CA,
OTHER,12/23/2020 04:48:00 PM,20-921132,MAIL/ETC THEFT/ETC,09X,100 MONTE CRESTA AV,Oakland,CA,
MISDEMEANOR ASSAULT,02/22/2021 02:30:00 PM,21-902282,ASSAULT,17Y,2200 8TH AV,Oakland,CA,
FORGERY & COUNTERFEITING,01/05/2021 07:35:00 AM,21-901595,FORGERY,10Y,800 45TH ST,Oakland,CA,
STOLEN VEHICLE,01/03/2021 12:49:00 PM,20-055620,VEHICLE THEFT - AUTO,24X,2100 SANTA RITA ST,Oakland,CA,
VANDALISM,01/12/2021 02:00:00 PM,21-900574,VANDALISM,31X,7500 EDGEWATER DR,Oakland,CA,
STOLEN VEHICLE,12/01/2020 09:49:00 AM,20-058853,POSS STOLEN VEH/VES/ETC,19X,1700 E 12TH ST,Oakland,CA,
PETTY THEFT,01/22/2021 01:46:00 PM,21-003438,THEFT,04X,1700 BROADWAY,Oakland,CA,
ROBBERY,01/29/2021 12:37:00 PM,21-004489,ROBBERY-FIREARM,03Y,1000 JEFFERSON ST,Oakland,CA,
ARSON,01/01/2021 11:58:00 PM,21-000324,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,23X,4000 ALAMEDA AV,Oakland,CA,
THREATS,01/06/2021 11:49:00 AM,21-000867,THREAT CRIME:INT:TERRORIZE,30X,8100 INTERNATIONAL BLVD,Oakland,CA,
ROBBERY,01/19/2021 10:15:00 AM,21-002890,ROBBERY-FIREARM,33X,900 88TH AV,Oakland,CA,
STOLEN VEHICLE,12/17/2020 11:00:00 PM,20-061798,VEHICLE THEFT - AUTO,08X,500 30TH ST,Oakland,CA,
STOLEN VEHICLE,12/03/2020 09:00:00 PM,20-059377,VEHICLE THEFT - AUTO,13Z,8400 PINE HILLS DR,Oakland,CA,
FORGERY & COUNTERFEITING,08/14/2020 12:00:00 AM,20-063802,OBT CREDIT/ETC:OTHER'S ID,99X,600 N. BROADWAY,Oakland,CA,
OTHER,01/11/2021 11:20:00 AM,20-001735,VEHICLE THEFT - AUTO,30X,9100 BURR ST,Oakland,CA,
FELONY ASSAULT,01/01/2021 02:00:00 AM,21-000020,ASSAULT WITH FIREARM ON PERSON,31Y,400 DARIEN AV,Oakland,CA,
,02/23/2021 10:05:00 PM,21-008768,VEHICLE THEFT - AUTO,30Y,7500 NEY AV,Oakland,CA,
BURG - AUTO,12/17/2020 08:00:00 PM,20-920855,BURGLARY-AUTO,25Y,7600 SURREY LN,Oakland,CA,
BURG - AUTO,01/17/2021 12:10:00 PM,21-900785,BURGLARY-AUTO,22Y,10000 SKYLINE BLVD,Oakland,CA,
ROBBERY,02/13/2021 12:00:00 PM,21-007072,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,2200 FREDERICK ST,Oakland,CA,
,02/25/2021 12:35:00 AM,21-008919,ROBBERY-FIREARM,34X,1700 92ND AV,Oakland,CA,
FRAUD,12/08/2020 12:40:00 PM,20-060159,GET CREDIT/ETC OTHER'S ID,18X,1800 E 17TH ST,Oakland,CA,
PETTY THEFT,01/03/2021 12:56:00 PM,21-000395,THEFT,30Y,7900 MACARTHUR BLVD,Oakland,CA,
BURG - RESIDENTIAL,01/11/2021 05:00:00 PM,21-001781,ATTEMPTED BURGLARY,21Y,3200 NICOL AV,Oakland,CA,
HOMICIDE,12/21/2020 02:00:00 PM,20-062539,SC UNEXPLAINED DEATH,34X,1600 84TH AV,Oakland,CA,
ROBBERY,02/01/2021 10:07:00 PM,21-005095,ROBBERY-FIREARM,31Y,8400 ENTERPRISE WY,Oakland,CA,
MISDEMEANOR ASSAULT,01/30/2021 03:10:00 AM,21-004579,CARRY CONCEALED WEAPON IN VEHICLE,22X,2100 MONTANA ST,Oakland,CA,
VANDALISM,12/06/2020 05:14:00 AM,20-059774,VANDALISM,17X,1600 11TH AV,Oakland,CA,
STOLEN VEHICLE,12/25/2020 02:00:00 AM,20-062958,POSS STOLEN VEH/VES/ETC,20X,2800 INTERNATIONAL BLVD,Oakland,CA,
VANDALISM,01/30/2021 03:20:00 PM,21-901477,VANDALISM,03X,300 8TH ST,Oakland,CA,
STOLEN VEHICLE,01/25/2021 06:55:00 PM,21-901251,ATTEMPT VEHICLE THEFT-AUTO,13Y,5800 NOTTINGHAM DR,Oakland,CA,
OTHER,01/28/2021 03:25:00 AM,21-901566,MAIL/ETC THEFT/ETC,13Z,6400 SNAKE RD,Oakland,CA,
PETTY THEFT,02/10/2021 09:00:00 PM,21-006788,THEFT,35Y,00 CAMISA CIR,Oakland,CA,
MISDEMEANOR ASSAULT,01/11/2021 03:00:00 PM,21-002247,BATTERY,35X,9700 THERMAL ST,Oakland,CA,
PETTY THEFT,02/23/2021 02:10:00 AM,21-008618,MALICIOUSLY DEFACE W/PAINT/ETC,20X,1900 FRUITVALE AV,Oakland,CA,
WEAPONS,01/08/2021 03:00:00 PM,21-001207,CARRY LOADED HANDGUN: NOT REG OWNER,25X,4400 MACARTHUR BLVD,Oakland,CA,
FELONY ASSAULT,01/01/2021 12:00:00 AM,21-000470,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,30X,2500 67TH AV,Oakland,CA,
RECOVERED O/S STOLEN,01/06/2021 08:19:00 AM,21-000800,VEHICLE THEFT - AUTO,26Y,5600 SAN LEANDRO ST,Oakland,CA,
STOLEN VEHICLE,02/20/2021 01:30:00 PM,21-008294,VEHICLE THEFT - AUTO,25X,3500 MACARTHUR BLVD,Oakland,CA,
VANDALISM,11/22/2020 05:20:00 PM,20-919906,VANDALISM,15X,100 ATHOL AV,Oakland,CA,
BURG - COMMERCIAL,11/04/2020 12:00:00 AM,20-054369,BURGLARY-FORCIBLE ENTRY,02X,1100 3RD ST,Oakland,CA,
FRAUD,02/09/2017 08:05:00 AM,21-901875,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,07X,3200 HELEN ST,Oakland,CA,
BURG - AUTO,01/24/2021 04:10:00 PM,21-901205,BURGLARY-AUTO,29X,6500 MOKELUMNE AV,Oakland,CA,
BURG - AUTO,01/27/2021 11:10:00 AM,21-901339,BURGLARY-AUTO,04X,17TH ST & WEBSTER ST,Oakland,CA,
FRAUD,11/05/2020 07:40:00 AM,20-920320,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,08X,400 W GRAND AV,Oakland,CA,
EMBEZZLEMENT,10/26/2020 12:01:00 AM,20-058664,EMBEZZLEMENT [OVER $400],32Y,2700 98TH AV,Oakland,CA,
FELONY ASSAULT,12/08/2020 10:20:00 PM,20-060250,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,05X,1600 FILBERT ST,Oakland,CA,
DOMESTIC VIOLENCE,01/21/2021 09:00:00 PM,21-003419,THREAT CRIME:INT:TERRORIZE,26Y,1300 81ST AV,Oakland,CA,
ROBBERY,12/16/2020 12:12:00 AM,20-061442,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",32Y,10000 MACARTHUR BLVD,Oakland,CA,
PETTY THEFT,11/26/2020 09:00:00 PM,20-919962,THEFT,16Y,1600 TRESTLE GLEN RD,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,10/04/2020 02:00:00 PM,20-049134,THEFT,01X,100 BROADWAY,Oakland,CA,
,02/08/2021 07:55:00 AM,21-902399,GRAND THEFT,19X,1200 13TH,Oakland,CA,
PETTY THEFT,12/16/2020 12:50:00 PM,20-061506,THEFT,32Y,10700 MACARTHUR BLVD,Oakland,CA,
FELONY ASSAULT,12/27/2020 03:47:00 AM,20-063180,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30Y,7400 MACARTHUR BLVD,Oakland,CA,
FELONY ASSAULT,01/20/2021 11:42:00 PM,21-003151,ASSAULT WITH FIREARM ON PERSON,27X,5400 FOOTHILL BLVD,Oakland,CA,
WEAPONS,01/23/2021 11:44:00 PM,21-003475,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,18X,1400 FOOTHILL BLVD,Oakland,CA,
STOLEN VEHICLE,02/13/2021 02:00:00 PM,21-007750,VEHICLE THEFT - AUTO,17Y,2500 IVY DR,Oakland,CA,
VANDALISM,12/16/2020 03:08:00 AM,20-920826,VANDALISM,05X,1100 21ST ST,Oakland,CA,
NARCOTICS,02/18/2021 11:47:00 AM,21-007872,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,08X,NORTHGATE AV & SYCAMORE ST,Oakland,CA,
VANDALISM,12/16/2020 01:45:00 PM,20-920793,VANDALISM,14X,400 BURK ST,Oakland,CA,
BURG - AUTO,01/17/2021 11:00:00 AM,21-900726,BURGLARY-AUTO,26Y,1000 81ST AV,Oakland,CA,
DOMESTIC VIOLENCE,01/19/2021 08:00:00 AM,21-003505,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,2600 MAGNOLIA ST,Oakland,CA,
STOLEN VEHICLE,06/01/2018 12:00:00 AM,21-006706,VEHICLE THEFT - AUTO,20X,1500 27TH AV,Oakland,CA,
STOLEN VEHICLE,12/09/2020 04:00:00 PM,20-060782,VEHICLE THEFT - AUTO,09X,4100 PIEDMONT AV,Oakland,CA,
VANDALISM,02/06/2021 01:13:00 PM,21-005882,TAMPER WITH VEHICLE,26X,1000 50TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,02/05/2021 10:00:00 AM,21-901848,ASSAULT,32X,1000 101ST AV,Oakland,CA,
ROBBERY,01/07/2021 11:40:00 PM,21-001110,ROBBERY-KNIFE OR CUTTING INSTRUMENT,26X,4400 SAN LEANDRO ST,Oakland,CA,
GRAND THEFT,01/15/2021 07:30:00 PM,21-003392,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,02Y,2000 7TH ST,Oakland,CA,
VANDALISM,01/23/2021 12:00:00 PM,21-901279,VANDALISM,11X,500 ALCATRAZ AV,Oakland,CA,
BURG - AUTO,11/22/2020 11:35:00 AM,20-919775,BURGLARY-AUTO,05X,1400 ADELINE ST,Oakland,CA,
STOLEN VEHICLE,11/12/2020 08:30:00 PM,20-057032,VEHICLE THEFT - AUTO,01X,300 OAK ST,Oakland,CA,
VANDALISM,12/10/2020 05:10:00 AM,20-920762,VANDALISM,13Z,2200 PELHAM PL,Oakland,CA,
MISDEMEANOR ASSAULT,02/14/2021 06:57:00 PM,21-007262,BATTERY,08X,2900 MCCLURE ST,Oakland,CA,
BURG - AUTO,02/15/2021 10:30:00 PM,21-902297,BURGLARY-AUTO,14X,500 GRAND AV,Oakland,CA,
BURG - AUTO,02/14/2021 01:00:00 PM,21-902103,BURGLARY-AUTO,15X,300 E 17TH ST,Oakland,CA,
BURG - RESIDENTIAL,12/19/2020 08:17:00 AM,20-061986,BURGLARY-FORCIBLE ENTRY,32Y,10500 LINK ST,Oakland,CA,
STOLEN VEHICLE,02/04/2021 03:00:00 PM,21-005699,VEHICLE THEFT - AUTO,25X,4800 CALAVARAS AV,Oakland,CA,
BURG - AUTO,01/13/2021 02:00:00 AM,21-900559,BURGLARY-AUTO,22X,3900 COOLIDGE AV,Oakland,CA,
HOMICIDE,01/17/2021 08:00:00 AM,21-002611,SC UNEXPLAINED DEATH,08X,3500 TELEGRAPH AV,Oakland,CA,
BURG - AUTO,12/06/2020 03:30:00 AM,21-901708,BURGLARY-AUTO,18Y,1900 E 29TH ST,Oakland,CA,
ROBBERY,12/19/2020 02:29:00 PM,20-062079,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",29X,5800 FOOTHILL BLVD,Oakland,CA,
RECOVERED O/S STOLEN,01/25/2021 03:20:00 AM,21-003781,VEHICLE THEFT - AUTO,24X,2100 38TH AV,Oakland,CA,
RECOVERED O/S STOLEN,12/28/2020 12:43:00 PM,20-063373,VEHICLE THEFT - AUTO,31Z,10700 PIPPIN ST,Oakland,CA,
GRAND THEFT,01/23/2021 09:00:00 PM,21-003759,GRAND THEFT,08X,3900 SHAFTER AV,Oakland,CA,
STOLEN VEHICLE,02/19/2021 11:15:00 AM,21-008000,VEHICLE THEFT - AUTO,30Y,2700 RITCHIE ST,Oakland,CA,
GRAND THEFT,11/29/2020 04:00:00 PM,20-920152,GRAND THEFT,08X,400 34TH ST,Oakland,CA,
PETTY THEFT,12/11/2020 12:00:00 PM,20-060841,THEFT,17X,1100 E 21ST ST,Oakland,CA,
VANDALISM,02/05/2021 09:00:00 PM,21-006652,VANDALISM,29X,6100 MAURITANIA AV,Oakland,CA,
STOLEN VEHICLE,12/22/2020 10:00:00 PM,20-062693,SC STOLEN VEHICLE - AUTO,32X,1200 101ST AV,Oakland,CA,
ROBBERY,01/13/2021 02:40:00 PM,21-002070,ROBBERY-OTHER DANGEROUS WEAPON,28X,3400 HIGH ST,Oakland,CA,
PETTY THEFT,01/24/2021 10:35:00 AM,21-901230,THEFT,19X,500 EMBARCADERO,Oakland,CA,
MISDEMEANOR ASSAULT,01/11/2021 03:35:00 PM,21-001775,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,27Y,6100 HAYES ST,Oakland,CA,
ROBBERY,12/15/2020 01:20:00 PM,20-061357,ATTEMPTED ROBBERY-STRONG-ARM,23X,1200 42ND AV,Oakland,CA,
VANDALISM,01/04/2021 08:20:00 PM,21-900171,VANDALISM,08X,2600 BROADWAY,Oakland,CA,
PETTY THEFT,01/05/2021 07:00:00 PM,21-900213,THEFT,13Z,5800 ESTATES DR,Oakland,CA,
OTHER,01/23/2021 08:31:00 PM,21-901164,MAIL/ETC THEFT/ETC,08X,300 27TH ST,Oakland,CA,
BURG - AUTO,02/13/2021 11:30:00 AM,21-902165,BURGLARY-AUTO,26X,5400 COLISEUM WY,Oakland,CA,
GRAND THEFT,12/24/2020 12:35:00 AM,20-062850,GRAND THEFT,25X,4400 MASTERSON ST,Oakland,CA,
GRAND THEFT,12/27/2020 10:00:00 AM,21-902415,GRAND THEFT:DOG,30X,1400 81ST AV,Oakland,CA,
TOWED VEHICLE,12/02/2020 10:29:00 AM,20-059043,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER,29X,6200 BANCROFT AV,Oakland,CA,
VANDALISM,01/24/2021 01:00:00 AM,21-901589,VANDALISM,13X,6100 N ROCKRIDGE BLVD,Oakland,CA,
STOLEN VEHICLE,02/17/2021 11:00:00 AM,21-007920,VEHICLE THEFT - AUTO,35X,8200 DOWLING ST,Oakland,CA,
ROBBERY,01/08/2021 02:30:00 PM,21-001203,MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON,15X,200 E 18TH ST,Oakland,CA,
WEAPONS,11/29/2020 08:33:00 PM,20-058596,CARRY LOADED FIREARM W/PRIOR FELONY CONVICTION,34X,1700 82ND AV,Oakland,CA,
STOLEN VEHICLE,11/04/2020 07:00:00 AM,20-061492,VEHICLE THEFT - AUTO,27X,1900 51ST AV,Oakland,CA,
DOMESTIC VIOLENCE,12/05/2020 09:00:00 PM,20-059725,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,19X,2200 INTERNATIONAL BLVD,Oakland,CA,
KIDNAPPING,01/19/2021 10:00:00 PM,21-003031,KIDNAPPING,08X,36TH ST & WEBSTER ST,Oakland,CA,
STOLEN AND RECOVERED VEHICLE,11/23/2020 08:00:00 PM,20-060683,VEHICLE THEFT - AUTO,20X,2400 E 11TH ST,Oakland,CA,
PETTY THEFT,01/31/2021 07:00:00 PM,21-005521,PETTY THEFT:$50-,21X,2600 26TH AV,Oakland,CA,
,02/15/2021 12:00:00 AM,21-008024,VEHICLE THEFT - AUTO,34X,IFO 1606 84TH AVE.,Oakland,CA,
OTHER,12/17/2020 05:39:00 PM,20-061722,FURNISH/ETC MINOR W/TOBACCO/SMOKING PARAPHERNALIA,30X,7300 INTERNATIONAL BLVD,Oakland,CA,
HOMICIDE,01/04/2021 01:00:00 PM,21-000577,SC UNEXPLAINED DEATH,30Y,2600 76TH AV,Oakland,CA,
VANDALISM,11/26/2020 12:30:00 PM,20-919922,VANDALISM,03X,300 8TH ST,Oakland,CA,
DOMESTIC VIOLENCE,11/30/2020 08:08:00 PM,20-058780,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30X,1500 76TH AV,Oakland,CA,
FELONY ASSAULT,01/17/2021 09:19:00 PM,21-002697,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,32Y,2000 98TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,11/28/2020 02:00:00 PM,20-062184,BATTERY,30X,2000 CHURCH ST,Oakland,CA,
BURG - AUTO,12/17/2020 04:20:00 PM,20-061712,BURGLARY-AUTO,03Y,400 8TH ST,Oakland,CA,
RECOVERED O/S STOLEN,01/31/2021 09:55:00 AM,21-004848,POSS STOLEN VEH/VES/ETC,28X,3100 KINGSLAND AV,Oakland,CA,
STOLEN VEHICLE,01/08/2021 03:55:00 PM,21-001229,VEHICLE THEFT - AUTO,09X,3600 BROADWAY,Oakland,CA,
OTHER,01/19/2021 06:24:00 AM,21-002869,VEHICLE THEFT - AUTO,30X,7800 INTERNATIONAL BLVD,Oakland,CA,
VANDALISM,01/12/2021 06:30:00 PM,21-900816,VANDALISM,24X,4100 LYON AV,Oakland,CA,
MISDEMEANOR ASSAULT,12/09/2020 09:30:00 AM,20-920485,BATTERY,31Y,500 HEGENBERGER RD,Oakland,CA,
STOLEN VEHICLE,01/17/2021 01:30:00 PM,21-002672,VEHICLE THEFT - AUTO,12X,300 40TH ST,Oakland,CA,
OTHER SEX OFFENSES,12/01/2018 12:00:00 AM,20-062582,LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS,30Y,2500 79TH AV,Oakland,CA,
VANDALISM,12/01/2020 01:00:00 AM,20-920188,VANDALISM,11X,5700 TELEGRAPH AV,Oakland,CA,
,12/21/2020 09:00:00 AM,21-009124,PETTY THEFT:$50-,19X,00 EMBARCADERO COVE,Oakland,CA,
BURG - AUTO,11/30/2020 12:00:00 PM,20-920439,BURGLARY-AUTO,22X,3500 FRUITVALE AV,Oakland,CA,
PETTY THEFT,12/20/2020 06:30:00 PM,20-062756,THEFT,35X,2200 AUSEON AV,Oakland,CA,
ROBBERY,12/29/2020 09:45:00 AM,20-063492,ROBBERY-KNIFE OR CUTTING INSTRUMENT,26X,50TH AV & COLISEUM WY,Oakland,CA,
MISDEMEANOR ASSAULT,12/23/2020 03:17:00 AM,20-062630,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,1900 96TH AV,Oakland,CA,
ROBBERY,12/26/2020 02:00:00 PM,20-063120,ROBBERY-FIREARM,27Y,5800 INTERNATIONAL BLVD,Oakland,CA,
CURFEW & LOITERING,02/08/2021 07:22:00 AM,21-006249,TRESPASS:REFUSE TO LEAVE PROPERTY,05X,2100 BRUSH ST,Oakland,CA,
VANDALISM,12/26/2020 05:00:00 PM,20-921207,VANDALISM,32Y,10200 STANLEY AV,Oakland,CA,
PETTY THEFT,12/20/2020 02:40:00 PM,20-062234,THEFT,15X,BODEN WY & BEACON ST,Oakland,CA,
BURG - AUTO,12/25/2020 07:05:00 PM,20-063579,VANDALISM,27Y,6300 E 17TH ST,Oakland,CA,
PETTY THEFT,01/06/2021 01:27:00 PM,21-000844,THEFT,31Y,100 98TH AV,Oakland,CA,
DOMESTIC VIOLENCE,02/16/2021 08:30:00 PM,21-007807,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,31Y,200 CAIRO RD,Oakland,CA,
OTHER,12/27/2020 11:30:00 AM,21-900315,GRAND THEFT:DOG,26X,45TH AV & INTERNATIONAL BLVD,Oakland,CA,
GRAND THEFT,02/05/2021 06:00:00 PM,21-901936,GRAND THEFT,22X,2300 COLOMA ST,Oakland,CA,
STOLEN VEHICLE,10/14/2020 08:23:00 AM,20-050958,VEHICLE THEFT - AUTO,03X,00 10TH ST,Oakland,CA,
FELONY ASSAULT,01/10/2021 12:30:00 PM,21-002121,BATTERY W/SERIOUS BODILY INJURY,22X,3500 FRUITVALE AV,Oakland,CA,
GRAND THEFT,01/18/2021 12:00:00 AM,21-900991,GRAND THEFT,20X,3000 GLASCOCK ST,Oakland,CA,
FELONY ASSAULT,12/24/2020 05:30:00 PM,20-062908,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,11X,700 60TH ST,Oakland,CA,
BURG - RESIDENTIAL,08/20/2020 12:09:00 AM,20-041443,GRAND THEFT:GOLD DUST/ETC,32Y,2200 WARNER AV,Oakland,CA,
DOMESTIC VIOLENCE,12/01/2020 09:08:00 PM,20-059655,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30X,1600 71ST AV,Oakland,CA,
WEAPONS,02/18/2021 04:25:00 PM,21-007904,MISD-CARRY LOADED HANDGUN: NOT REGISTERED OWNER,30X,79TH AV & ARTHUR ST,Oakland,CA,
STOLEN VEHICLE,12/17/2020 08:00:00 PM,20-061797,VEHICLE THEFT - AUTO,25X,3700 39TH AV,Oakland,CA,
VANDALISM,09/22/2020 08:45:00 AM,21-902621,VANDALISM,03X,100 13TH ST,Oakland,CA,
PETTY THEFT,02/08/2021 12:01:00 PM,21-006204,THEFT,24X,1900 HARRINGTON AV,Oakland,CA,
VANDALISM,01/19/2021 07:00:00 AM,21-002950,VANDALISM-$400+,27Y,5600 SCOVILLE ST,Oakland,CA,
STOLEN VEHICLE,12/30/2020 08:27:00 AM,20-063653,VEHICLE THEFT - AUTO,03X,900 FALLON ST,Oakland,CA,
GRAND THEFT,02/18/2021 08:15:00 AM,21-007884,GRAND THEFT,08X,2600 BROADWAY,Oakland,CA,
VANDALISM,01/16/2021 11:22:00 PM,21-900935,VANDALISM,03X,1100 BROADWAY,Oakland,CA,
DOMESTIC VIOLENCE,12/12/2020 02:00:00 AM,20-060822,INFLICT CRPL INJ SP/COHAB,30X,8000 BIRCH ST,Oakland,CA,
BURG - AUTO,12/19/2020 08:17:00 PM,20-920922,BURGLARY-AUTO,04X,1900 SAN PABLO AV,Oakland,CA,
BURG - RESIDENTIAL,12/17/2020 12:00:00 AM,20-920821,BURGLARY-FORCIBLE ENTRY,12X,4900 DESMOND ST,Oakland,CA,
VANDALISM,01/01/2021 03:30:00 PM,21-900064,VANDALISM,09X,700 OAKLAND AV,Oakland,CA,
FELONY ASSAULT,12/11/2020 01:00:00 PM,20-060733,EXHIBIT FIREARM,04X,2200 MARTIN LUTHER KING JR W,Oakland,CA,
FELONY ASSAULT,01/15/2021 07:45:00 PM,21-002431,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,10X,1000 57TH ST,Oakland,CA,
PETTY THEFT,01/13/2021 05:30:00 PM,21-002359,THEFT,30X,1400 76TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,02/20/2021 10:53:00 PM,21-008248,BATTERY,08X,500 27TH ST,Oakland,CA,
OTHER,01/31/2021 03:10:00 PM,21-901497,MAIL/ETC THEFT/ETC,03Y,600 11TH ST,Oakland,CA,
STOLEN VEHICLE,02/17/2021 12:00:00 AM,21-007892,VEHICLE THEFT - AUTO,29X,5500 FOOTHILL BLVD,Oakland,CA,
ROBBERY,12/01/2020 08:00:00 PM,20-058946,CARJACKING WITH FIREARM,32Y,10700 MACARTHUR BLVD,Oakland,CA,
DISORDERLY CONDUCT,01/09/2021 06:06:00 PM,21-001470,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,21Y,2000 FRUITVALE AV,Oakland,CA,
STOLEN VEHICLE,01/29/2021 10:00:00 PM,21-004688,VEHICLE THEFT - AUTO,19X,1700 EMBARCADERO,Oakland,CA,
VANDALISM,12/26/2020 01:05:00 PM,20-063078,VANDALISM,05X,800 W GRAND AV,Oakland,CA,
ROBBERY,02/02/2021 07:36:00 PM,21-005259,ROBBERY-FIREARM,33X,8300 D ST,Oakland,CA,
,02/24/2021 11:45:00 AM,21-008844,VEHICLE THEFT - AUTO,32Y,9800 THERMAL ST,Oakland,CA,
STOLEN VEHICLE,11/22/2020 08:00:00 PM,20-057540,VEHICLE THEFT - AUTO,27Y,2500 61ST AV,Oakland,CA,
THREATS,02/22/2021 11:07:00 AM,21-008496,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,07X,2300 SAN PABLO AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/22/2021 12:00:00 PM,21-003388,ASSAULT,19X,2200 FOOTHILL BLVD,Oakland,CA,
ROBBERY,12/27/2020 06:30:00 PM,20-063277,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3400 E 12TH ST,Oakland,CA,
GRAND THEFT,01/13/2021 04:43:00 PM,21-900606,GRAND THEFT,25X,3700 MADRONE AV,Oakland,CA,
DOMESTIC VIOLENCE,02/15/2021 03:00:00 AM,21-007445,SODOMY,01X,100 4TH ST,Oakland,CA,
BURG - COMMERCIAL,12/12/2020 06:00:00 PM,20-920721,BURGLARY-NO FORCE,31X,8200 EDGEWATER DR,Oakland,CA,
,01/21/2021 11:25:00 AM,21-003232,THEFT,19X,1900 E 15TH ST,Oakland,CA,
DISORDERLY CONDUCT,02/15/2021 10:20:00 PM,21-007469,DISORDERLY CONDUCT:LODGE WITHOUT CONSENT,20X,2700 E 9TH ST,Oakland,CA,
